comment,commentNUM,name,rate
真相就在眼前。,207387人评价,电锯惊魂,8.7
像吃了苏打饼一样干脆的电影。,188213人评价,谍影重重3,8.7
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,409610人评价,贫民窟的百万富翁,8.5
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,217603人评价,雨人,8.6
一个针管引发的血案。,291028人评价,记忆碎片,8.5
电影诗。,261550人评价,东邪西毒,8.6
中国家庭的喜怒哀乐忍。,146487人评价,喜宴,8.8
不要给它起名字，起了名字就有感情了。,252686人评价,怪兽电力公司,8.6
老少皆宜，这就是好莱坞动画的魅力。,385343人评价,疯狂原始人,8.7
黑暗之美。,433488人评价,黑天鹅,8.5
传奇，不是每个人都可以拥有。,152922人评价,燃情岁月,8.7
英雄泪短，兄弟情长。 ,174418人评价,英雄本色,8.7
永远看不腻的喜剧。,110849人评价,虎口脱险,8.9
当这个世界闭上双眼，他却敞开了怀抱。,124897人评价,卢旺达饭店,8.8
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,294794人评价,恋恋笔记本,8.5
爱是摈弃傲慢与偏见之后的曙光。,314970人评价,傲慢与偏见,8.4
《我是山姆》的《美丽人生》。,184453人评价,7号房的礼物,8.7
我们都有权利不与自己的过去和解。,200382人评价,海边的曼彻斯特,8.6
不可猜的青春迷笛。 ,256161人评价,猜火车,8.5
中国式内在的美国电影。,133675人评价,魂断蓝桥,8.8
10年的完美句点。,284849人评价,哈利·波特与死亡圣器(下),8.6
任何信念的力量，都无法改变命运。,136011人评价,教父3,8.8
爱上未来的你。 ,191817人评价,穿越时空的少女,8.6
触不到的恋人。,165325人评价,萤火之森,8.7
坏人的好总是比好人的好来得更感人。,84125人评价,完美的世界,9.0
香港浪漫主义警匪动作片的巅峰之作。,152648人评价,纵横四海,8.7
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,121197人评价,小森林 冬春篇,8.9
跨度十五年的欢乐与泪水。,198732人评价,玩具总动员3,8.8
骨灰级歌舞片。,96069人评价,雨中曲,8.9
